:ID,名称,:Label,类型,含义
长龄库存,长龄库存,专有名词,物流类,有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
授信,授信,专有名词,信用类,信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
代收代付,代收代付,专有名词,业务类,代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
采购价差,采购价差,专有名词,业务类,采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
返利返差,返利返差,专有名词,业务类,返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
定金,定金,专有名词,业务类,订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
厂内交货价,厂内交货价,专有名词,业务类,指钢厂或合同供方在钢厂内指定地点或仓库将货物交给合同需方处置即完成交货。合同价格是否含厂内吊费按双方合同约定。
后结算,后结算,专有名词,业务类,指不以当前合同价格（合同预付款价格）作为结算价格，而以双方按合同约定方式另行确认的价格作为实际结算价格的结算方式。
估值盯市(专有名词),估值盯市,专有名词,业务类,指按天对未结清的欧冶云商各产品进行估值，并将当日估值与合同生效当日的估值进行比对，计算出相较于合同生效日估值涨第86页跌幅比例的过程。
跌价预警,跌价预警,专有名词,业务类,指盯市过程中，某产品合同项下货物盯市的跌幅超过产品预设的比例，触发对该项业务补缴或处置的情形。
合同归档超期,合同归档超期,专有名词,业务类,合同已生效，但未归档，以合同生效日期作为跟踪起始点。
