:ID,名称,:Label,负责角色
业务洽谈,业务洽谈,业务环节,地区公司
客商准入,客商准入,业务环节,运营中心
开立银行账户,开立银行账户,业务环节,
物流服务商准入,物流服务商准入,业务环节,欧冶物流
授信管理,授信管理,业务环节,财务部
授权管理,授权管理,业务环节,交易事业部、地区公司、运营中心、欧冶物流
三新业务模式审批,三新业务模式审批,业务环节,交易事业部、地区公司、运营中心、欧冶物流、财务部
合同年协备案,合同年协备案,业务环节,地区公司
采购计划,采购计划,业务环节,交易事业部、财务部
购销评审,购销评审,业务环节,运营中心
合同管理,合同管理,业务环节,运营中心
合同变更,合同变更,业务环节,运营中心
价格管理,价格管理,业务环节,交易事业部、地区公司、运营中心
印章使用,印章使用,业务环节,欧冶物流、运营中心
估值盯市(业务环节),估值盯市,业务环节,运营中心
资金计划,资金计划,业务环节,地区公司
付款申请,付款申请,业务环节,运营中心
付款审批,付款审批,业务环节,财务部
票据,票据,业务环节,供应商、财务部
收付款控制,收付款控制,业务环节,供应商、财务部
钢厂跟单,钢厂跟单,业务环节,欧冶物流、地区公司
在途管控,在途管控,业务环节,欧冶物流
货物入库,货物入库,业务环节,欧冶物流
实物管理,实物管理,业务环节,欧冶物流
仓库监管,仓库监管,业务环节,欧冶物流、地区公司
提货,提货,业务环节,欧冶物流
库存管理,库存管理,业务环节,地区公司
采购结算,采购结算,业务环节,运营中心
折扣,折扣,业务环节,运营中心
销售结算,销售结算,业务环节,运营中心
质量异议,质量异议,业务环节,欧冶物流
毛利核算,毛利核算,业务环节,运营中心
用户对帐,用户对帐,业务环节,运营中心
档案管理,档案管理,业务环节,运营中心
